Germany,English
JOBSUCHE,JOB SEARCH
MITARBEITERSUCHE,EMPLOYEE SEARCH
AUSHILFEN,TEMPORARY WORKER SEARCH
BILDUNGSPORTAL,EDUCATION PORTAL
Was suchen Sie? (Jobbezeichnung oder Suchwort),What? (Job title or keyword)
Prämie,Premium
Vollzeit,Full-Time
Lebensarbeitszeitkonto,Lifetime Working Account
Schnellsuche starten,Start quick search
Detailsuche,DETAILED SEARCH
RETTUNGSDIENST,AMBULANCE SERVICE
FEUERWEHR,FIRE DEPARTMENT
LEITSTELLE,CONTROL CENTER
SONSTIGES,OTHERS
Finanzen,Financial
Auswählen,Choose one
Ja,Yes
Nein,No
Eigene Angaben,Custom value
Arbeit,Work
Ausbildung,Education
Fakten,Facts
Gesundheit,Health
Mobilität,Mobility
Dauerhaft,Permanent
Übergangsweise,Transitional
Finanzielle Beihilfe,Financially supported
Egal,Irrelevant
Suchen,Search now
Datum,Date
Entfernung,Distance
vor 2 agen,2 days ago
2 Angebote,2 Results showing
Für Unternehmen,For companies
Ergebnisse werden geladen,Loading
Jobbeschreibung,Job Description
Jetzt kontaktieren,Contact now
Profil ansehen,View profile
Melden Sie sich an,Login to Your Account
Passwort vergessen,Forgot Password
Sie haben kein Benutzerkonto? Jetzt registrieren,Don't have an account? Signup
Jobsucher,Jobseeker
Aushilfe,Temporary worker
Arbeitgeber,Company
Bildungsinstitut,Institute
Headhunter,Headhunter
Dozent,Lecturer
eMail,Email Address
Die eingebenen Daten sind ungültig,Invalid Login Credentials
Benutzerkonto anlegen,Create an Account
Finden Sie perfekte Jobs und Kandidaten. Wählen Sie aus mehr als 130.000 aufgeführten Jobs,"Find perfect Job and Candidates. Choose from more then 130,000+ Jobs listed"
Kontoart,ACCOUNT TYPE
Anmerkung,Notice
Wichtig,Important
Bitte wählen Sie die entsprechende Kontoart aus,Please choose Account Type before fill up all the fields.
Persönliche Daten,PERSONAL INFORMATION
Vorname,First Name
Nachname,Last Name
Geburtsdatum,Date of Birth
Telefon,Telephone
Email Adresse,Email Address
Weitere Informationen,ADDITIONAL INFORMATION
Adresse,Street
Postleitzahl,ZIP Code
Stadt,City
Land,Country
Bundesland,State
Kontosicherheit,ACCOUNT SECURITY
Passwort,Password
Passwort bestätigen,Confirm Password
Niedersachsen,Lower Saxony
Bayern,Bavaria
Sachsen-Anhalt,Saxony-Anhalt
Thüringen,Thuringia
Nordrhein-Westfalen,Nort-Rhine-Westphalia
Hessen,Hesse
Rheinland-Pfalz,Rhineland-Palatinate
Sachsen,Saxony
Deutschland,Germany
Österreich,Austria
Schweiz,Switzerland
Registrierung,Registration
Profil verwalten,Manage profile
Konto bearbeiten,Edit account
"Kontodetails, Einstellungen, Zahlungsmethoden etc.","Account details / setting / payment method, etc."
Werkstätten,Workshops
Anzeigen für Bildungsprogramme,Educational program ads
Job Favoriten,Favourite Job
Jonangebote,job advertisements
Aus Vorlage laden,Load from template
Neues Jobangebot erstellen,New job advertisement
Name der Bildungseinrichtung,Institute Name
Adresse,Address
Straße,street
Stadt,new city
Firmenbeschreibung,Company Description
Verfassen Sie bitte hier eine ausführliche Stellenbeschreibung,Write here Job long description is requiered
Stellenanzeige aufgeben,Job Post
Daten zur Anzeige,Data
Titel der Stellenanzeige,Job Title
PLZ,Zip
Stadt,City
Hauptkategorie wählen,Select Category
Kurze Stellenbeschreibung,Job Short Description
Lange Stellenbeschreibung und Imagevideo,Job Long Description & YouTube Video
Als Entwurf speichern,Safe as draft
Stellenanzeige veröffentlichen,Publish Job
"Hallo,","Hey,"
Mein Profil,View Your Profile
Kontoart,Role
Stellenanzeige Aushilfe,Temporary job advertisement
Mitarbeitersuche Favoriten,Employee favorites
Favoriten für Aushilfskräfte,Temporary staff favorites
Markierte Bildungsprogramme,Marked educational programs
Besuche,Views
Kontakte geöffnet,Contact Opened
Bearbeiten,Edit
Anzeigen Booster,Ads Booster
Anzeige löschen,Delete Ad
Sind Sie sicher?,Are you sure?
Abbrechen,Cancel
Abgebrochen,Canceled
Steuernummer,TAX ID
Abrechnungsverlauf,Billing History
Benutzername,Username
Passwort,Password
Account löschen,Delete Account
Änderungen speichern,Change Account Settings
Einstellungen,User Settings
Speichern,Save data
Firmenbeschreibung,Company Description
Profile bearbeiten,Manage profile
Bitte warten,Please wait
Lieblingsjobs,Favorite Jobs
Mitarbeitersuche | Lieblingsmitarbeiter,Employee Search | Favorite Employees
Temporäre Suche | Lieblings Zeitarbeiter,Temporary Search | Favorite Temporary Worker
Bildungsportal | Beliebte Bildungsangebote,Education Portal | Favorite Educational Offers
Vor Stunden,hours ago
